Report generated on: 09-17-2020 15:59:44
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"INTL.7-1-ERI-TST.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-EST-TST.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-SWZ-TST.A","        Eswatini","194.0067999999965","180.7790600000026","146.6074100000077","112.4357600000028","137.7889200000001","182.9836899999984","189.5975500000001","181.8813699999979","160.9374580000018","168.6535289999993","176.3695999999967","135.5841300000009","110.2309999999992","55.11549999999959","251.3266799999965","189.5973200000002","142.1979900000026","223.7689300000042","451.9470999999996","469.5840600000043","418.8778000000009","347.2276499999969","467.3794400000037","494.5668138399957","538.2734053400045","497.1418099999966","342.3444166999957","265.96866","195.67804","146.55024","164.02433","136.91823","170.63505","284.0386","196.21118","156.52802","174.16498","160.18035",""
"INTL.7-1-ETH-TST.A","        Ethiopia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-FLK-TST.A","        Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-FRO-TST.A","        Faroe Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-FJI-TST.A","        Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-FIN-TST.A","        Finland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CSK-TST.A","        Former Czechoslovakia","137244.378129998","134745.438280005","137146.272419999","141555.517859999","144635.926949999","141544.494740002","141079.31935","140836.810849996","138308.108590005","131862.894069998","116977.1371999998","110566.1022400003","99276.2432200001","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.7-1-SCG-TST.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","42345.23865","40632.24891","37202.9625","44748.27445","44673.31737","47375.07918","48585.41556","36486.461","40889.08714","40057.9454","42326.49938","44399.94449","45367.77267","40120.77707","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.7-1-SUN-TST.A","        Former U.S.S.R.","789714.597260011","772800.731759997","785677.933059998","778853.523429999","785338.421159993","800718.971560009","828062.90715","837580.263420003","851309.551410002","816066.452619994","881835.859889996","701655.351989997","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.7-1-YUG-TST.A","        Former Yugoslavia","45526.46224999969","57235.290670000075","60256.63792999973","65468.36602999999","71729.60478999972","77011.88082000006","77001.96002000007","78771.16975000016","79999.14461000034","82225.81355000079","83608.11200000024","78035.92808000014","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.7-1-FRA-TST.A","        France","22824.43086000026","22960.01499000031","21997.69835999983","21617.40141000025","20965.93620000027","18698.48453000042","18227.79815999962","17419.80493000047","15206.36644999999","15034.4060900001","14131.61419999999","13330.23483000005","12187.13936000006","11296.47288000002","9963.78008999994","9275.93864999998","8939.7341","7505.62878999998","6171.83369","5612.96251999995","3816.19721999994","2530.903760000011","1797.867609999997","1916.917090000001","176.3695999999988","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GUF-TST.A","        French Guiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-PYF-TST.A","        French Polynesia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GAB-TST.A","        Gabon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GMB-TST.A","        Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GEO-TST.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","155.42571","165.3465","202.82504","37.47854","17.63696","5.51155","16.53465","17.63696","7.71617","1.10231","6.61386","8.81848","8.81848","5.51155","9.92079","15.43234","12.12541","167.55112","115.74255","154.3234","279.98674","445.553702","329.921383","337.196629","326.834915","295.41908","153.22109"
"INTL.7-1-DEU-TST.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","388368.06382","346086.75915","315234.20456","291781.457","277356.62834","271419.58668","251736.73932","232999.67394","226116.8503","226047.40477","227112.23623","232573.07997","229100.80347","232672.28787","226993.18675","220553.49173","225526.01214","214350.79336","203737.75268","202286.01041","208845.85722","217144.0469","210492.70836","205597.34965","203612.08934","193593.19374999998","193038.73182","186311.94236512"
"INTL.7-1-DDR-TST.A","        Germany, East","285311.1377303711","294555.8879001574","304332.3521589754","305803.5295069426","325806.2715184399","343290.8328691729","342195.8603651564","339449.9314926724","341148.3172350309","331117.1956773462","287447.4010212765","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.7-1-DEUW-TST.A","        Germany, West","248447.2058496273","250140.6778098382","247781.6575410225","237768.6800030549","235399.591061561","233091.6337908332","224274.6347748372","212842.6524273287","209291.2835749665","208394.1037926534","190978.28748872","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.7-1-GHA-TST.A","        Ghana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GIB-TST.A","        Gibraltar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GRC-TST.A","        Greece","25571.38738","30109.59765","30202.19169","33724.07214","35827.27962","39559.70128","41993.60176","49176.25372","53266.92613","57172.41046","57205.47976","58086.22545","60683.26781","60425.32727","62470.11232","63561.39922","65897.19411","64864.32964","67113.04204","68399.43781","70423.27897","73131.65464","77677.58108","75286.67069","77206.89471","76498.10938","71415.35797","73091.97148","72443.8132","71532.20283","62302.5612","64668.11846","69397.02836","59440.96444","56046.951949999995","50977.42825999999","35977.193779999994","41591.64221388","39842.885821309996"
"INTL.7-1-GRL-TST.A","        Greenland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GRD-TST.A","        Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GLP-TST.A","        Guadeloupe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GUM-TST.A","        Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GTM-TST.A","        Guatemala","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GIN-TST.A","        Guinea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-GNB-TST.A","        Guinea-Bissau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
