Report generated on: 09-19-2020 19:43:49
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","electricity installed capacity (million kW)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-7-CPV-MK.A","        Cabo Verde","0.003","0.004","0.004","0.004","0.006","0.006","0.007","0.007","0.007","0.007","0.018","0.02","0.023","0.026","0.029","0.032","0.034","0.037","0.039","0.042","0.045","0.051","0.081","0.079","0.079","0.08","0.072","0.075","0.09","0.09","0.104","0.133","0.135","0.141","0.153","0.1615","0.1675","0.17","NA",""
"INTL.2-7-KHM-MK.A","        Cambodia","0.04","0.04","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.035","0.045","0.06","0.065","0.07","0.08","0.085","0.085","0.09","0.11","0.12","0.1301","0.1502","0.1673","0.1863","0.1894","0.2326","0.34651","0.3886","0.38709","0.37478","0.36708","0.5803","0.6073","1.1763","1.5403","1.6903","1.7183","2.1763","NA",""
"INTL.2-7-CMR-MK.A","        Cameroon","0.423","0.553","0.592","0.592","0.623","0.625","0.625","0.625","0.625","0.627","0.627","0.627","0.627","0.627","0.627","0.82","0.82","0.817","0.817","0.819","0.796","0.87","1.065","1.0751","1.0801","1.0141","0.9251","0.9222","0.9372","1.023","1.008","1.289","1.344","1.619","1.747","1.859","1.891","1.922","NA",""
"INTL.2-7-CAN-MK.A","        Canada","79.186","81.597","84.17","86.911","93.245","94.026","96.695","98.889","96.049","97.163","103.652","104.852","108.265","107.838","112.081","112.916","114.343","110.484","108.035","109.007","110.707","111.94","114.382","118.958","119.738","122.45","124.148","125.325","126.466","131.583","132.314","132.898","130.684","133.283","136.811","147.641","143.543","147.15","NA",""
"INTL.2-7-CYM-MK.A","        Cayman Islands","0.016","0.02","0.023","0.028","0.031","0.035","0.044","0.048","0.059","0.06","0.075","0.075","0.075","0.075","0.075","0.076","0.076","0.094","0.094","0.094","0.094","0.115","0.115","0.115","0.127","0.115","0.115","0.124","0.137","0.153","0.151","0.151","0.15","0.15","0.132","0.132","0.164","0.17","NA",""
"INTL.2-7-CAF-MK.A","        Central African Republic","0.038","0.037","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.043","0.04","0.04","0.04","0.04","0.04","0.04","0.038","0.038","0.038","0.044","0.044","0.0441","0.0442","0.0443","0.0443","0.0443","0.0383","0.0383","0.0383","NA",""
"INTL.2-7-TCD-MK.A","        Chad","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.03","0.031","0.031","0.032","0.031","0.031","0.031","0.041","0.041","0.0861","0.0861","0.0862","0.0872","0.0872","NA",""
"INTL.2-7-CHL-MK.A","        Chile","3.209","3.357","3.344","3.352","3.967","3.987","4.033","4.015","4.079","4.079","4.418","5.161","5.173","5.205","5.835","6.295","7.592","7.89","8.735","9.052","9.894","10.493","10.542","10.993","11.87","12.586","12.865","13.18","14.019","15.706","16.206","17.549","18.153","18.515","20.513","21.436","24.53","26.275","NA",""
"INTL.2-7-CHN-MK.A","        China","65.871","69.13","72.36","76.44","80.117","87.045","93.82","102.897","115.497","126.638","137.891","151.173","166.532","183.549","201.164","218.712","238.118","256.326","279.656","302.072","325.526","344.714","364.05","398.067","449.001","518.5108","626.59","718.516","794.202","878.842","969.742","1066.293","1151.491","1265.099","1376.958","1516.215","1660.215","1793.965","1911.279",""
"INTL.2-7-COL-MK.A","        Colombia","4.636","4.861","5.616","6.255","6.85","7.098","6.872","8.523","9.331","8.793","8.849","9.599","11.024","12.185","12.658","12.647","13.514","14.614","12.818","13.224","12.795","13.543","13.868","13.261","13.465","13.408","13.443","13.478","13.573","13.623","14.464","14.65","14.615","14.76","15.836","16.661","16.825","16.962","17.375",""
"INTL.2-7-COM-MK.A","        Comoros","0.004","0.005","0.005","0.005","0.005","0.005","0.005","0.003","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.006","0.006","0.022","0.022","0.022","0.022","0.022","0.022","0.024","0.024","0.025","0.026","0.026","0.027","0.027","NA",""
"INTL.2-7-COG-MK.A","        Congo-Brazzaville","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.121","0.121","0.121","0.121","0.121","0.212","0.212","0.212","0.212","0.212","0.239","0.239","0.359","0.5091","0.5991","0.5992","0.6","0.585","0.594","0.628","NA",""
"INTL.2-7-COD-MK.A","        Congo-Kinshasa","1.72","1.72","1.72","1.72","2.17","2.17","2.545","2.831","2.831","2.831","2.831","2.831","3.134","3.194","3.194","2.574","2.574","2.548","2.548","2.473","2.473","2.548","2.568","2.502","2.443","2.443","2.444","2.444","2.476","2.476","2.506","2.506","2.5061","2.5494","2.5496","2.5717","2.5857","2.599","NA",""
