Report generated on: 09-17-2020 15:41:27
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"INTL.4008-8-BTN-MMTCD.A","        Bhutan","0.004459613","0.024994636","0.031310888","0.028733452","0.025614426","0.032787005","0.031214697","0.061426483","0.062401164","0.05986905","0.10706905","0.10677905","0.112256622","0.090708835","0.11876658","0.134022234","0.148641142","0.150911944","0.136450699","0.139263741","0.143227449","0.152312903","0.268109529","0.241162614","0.207882671","0.283327845","0.289882288","0.204718186","0.289373842","0.407543213","0.460022263","0.509256674","0.605675816","0.57567117","0.582900677","0.609577129","0.639504633","0.515209038"
"INTL.4008-8-BOL-MMTCD.A","        Bolivia","4.13884618","4.63953927","4.03668","4.09585","4.042793333","3.583623333","3.642793333","3.442793333","3.908076667","4.579473333","4.8917","4.779473333","5.19781357","4.992891168","5.755007116","6.787921242","6.455985558","7.123834197","6.703551915","8.0622599","8.767200111","7.705578224","8.897322846","11.185948032","11.390146826","11.231409602","12.499241282","11.087513081","13.721463632","12.741271491","13.325796037","13.247718509","15.484720188","15.806032418","16.181419344","15.937316567","17.25413277","20.367229786"
"INTL.4008-8-BIH-MMTCD.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","8.455783826","6.073801738","5.946905822","9.986675046","4.76732975","10.349730953","13.108146441","12.817986591","14.590383109","14.42719838","15.016145707","13.506542707","12.47860196","11.006871314","11.12803019","11.336612375","12.586240717","15.180806728","16.253261876","18.382375941","17.838840347","16.706110874","16.888825231","17.131131881","17.676363129","18.70502879"
"INTL.4008-8-BWA-MMTCD.A","        Botswana","1.23447122","1.291758844","1.26051233","1.244171495","1.231610995","1.533119337","1.657004878","1.785967206","2.08671566","2.290931209","2.576298633","2.616348665","3.256974973","3.061291391","2.998264219","3.032601799","2.730084461","2.798102958","3.064026254","2.809949688","3.872293976","3.522588745","3.500710108","3.30143708","3.751109974","4.070222742","4.244767121","4.084922975","3.941021716","4.241374987","3.621634638","3.550028705","3.310063632","4.333389735","6.894090797","6.190285743","6.948973306","7.676231062"
"INTL.4008-8-BRA-MMTCD.A","        Brazil","186.485133845","177.067726684","173.193421972","164.635354439","178.787225796","193.325116246","214.217440351","220.800656084","221.088267564","229.786869373","240.995377316","249.401879645","241.914734276","262.893914546","276.842284975","297.376517854","314.342774816","331.150116133","327.71979195","340.145029688","350.780119551","354.222104969","351.525964287","353.404755631","362.767074075","375.939203726","390.697412213","318.559461367","433.000833085","408.676158449","469.322357976","482.436117907","501.480430276","527.568603267","552.986724526","620.211167205","523.643510606","532.545594182"
"INTL.4008-8-VGB-MMTCD.A","        British Virgin Islands","0.02217","0.03498","0.03468","0.03498","0.0321","0.03275","0.03777","0.04407","0.04723","0.05039","0.05039","0.05039","0.0541","0.05411","0.05413","0.05406","0.0604","0.06039","0.06036","0.06036","0.06038","0.06038","0.06039","0.0699","0.08895","0.09531","0.1","0.11115615","0.1","0.1","0.2","0.17865226","0.177708728","0.177212161","0.179863623","0.183908","0.186382","0.231842"
"INTL.4008-8-BRN-MMTCD.A","        Brunei","4.5132476","4.693469187","5.008755533","4.049361253","3.634074907","4.313772047","2.82555618","4.47141522","3.99171808","4.57141522","3.862896493","3.2368218","3.142958767","2.951409586","2.913541163","3.497650496","3.486551409","3.702775948","3.243306501","3.6402303","3.757935894","4.24837587","4.87613904","5.193844634","5.823519808","6.610135774","9.827422017","10.186086444","10.533825884","7.240768203","8.309732282","8.502016786","8.24088067","7.771931884","8.623205181","9.242163078","9.71312877","9.987601556"
"INTL.4008-8-BGR-MMTCD.A","        Bulgaria","92.728478347","90.875998016","93.67551512","93.73556392","93.393354642","97.167437397","100.849753883","99.625797835","95.664999933","87.930724327","79.267585238","60.178463792","60.122767052","58.061100652","57.915557995","60.021731976","59.09406938","55.487563968","50.883383613","44.756256896","46.772216221","47.659570794","46.464292585","48.437154946","49.66360513","49.669391308","50.263382816","50.47503153","54.044374068","43.793765446","44.216601632","51.222833153","46.216229663","41.083856001","44.290849259","46.525624393","42.91887462","45.158140571"
"INTL.4008-8-BFA-MMTCD.A","        Burkina Faso","0.41825","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.6","0.7","0.7","0.7","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.2","1.1","1.2","1.347805637","1.4","1.7","1.7","2.120689116","2.453215462","3.050219119","2.860502377","3.711134","3.006024","3.296866"
"INTL.4008-8-MMR-MMTCD.A","        Burma","4.407396941","4.553448948","4.854886413","5.589234894","6.0257908","6.31389734","5.295661171","4.880696179","4.696151342","4.849713467","4.687489365","4.595495604","4.600681231","4.759154107","5.786647226","6.145694336","6.251593658","6.875350086","8.285026564","9.661613106","9.863835611","9.656972395","10.607713016","11.852417041","12.45377747","15.979429756","14.662475622","14.798106259","14.414041054","11.813522428","11.57514993","11.527590057","14.601694879","16.898618624","21.2965196","18.701428725","22.395153669","26.441478027"
"INTL.4008-8-BDI-MMTCD.A","        Burundi","0.0981","0.1","0.09812","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.209395776","0.4","0.2","0.2","0.264970514","0.233810047","0.283664742","0.239258433","0.390188","0.468876","0.222245"
