"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000004&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=4701-A&vs=INTL.4701-34-AFG-BDOLPPP.A&cy=2015&vo=0&v=T&end=2017"
"Sat Aug 25 2018 02:26:42 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Ethiopia","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,29.885,29.7771,30.589,28.3811,25.8531,29.3079,30.3297,32.1862,36.5418,37.5798,36.0595,37.9211,40.224,43.5631,44.2229,43.2672,49.1398,54.9474,60.9009,67.8776,75.2007,81.8201,92.089,104.204,113.215,125.196,138.038,152.383,163.906,178.166
"","Falkland Islands (Islas Malvinas)","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Faroe Islands","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Fiji","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,3.51497,3.98039,4.31282,4.19758,4.36158,4.43693,4.66322,4.7798,5.00923,4.89903,4.96271,5.39943,5.30764,5.41379,5.58704,5.6429,5.94198,5.98357,6.09442,6.03957,6.09996,6.01456,6.195,6.36227,6.45206,6.75751,7.13617,7.41051,7.43867,7.71248
"","Finland","Billion $2010 PPP",104.5727,105.905,109.1846,112.5351,115.8967,119.6376,122.9316,127.3817,133.9477,141.2028,139.8573,131.5834,127.2088,126.2743,131.2497,136.7704,141.7738,150.6384,158.8148,165.8727,175.2196,179.7428,182.7632,186.4073,193.7258,199.1126,207.1859,217.9291,219.4997,201.3492,207.3743,212.7055,209.6718,208.0813,206.7668,207.0462,211.7444,217.5523
"","Former Czechoslovakia","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former Serbia and Montenegro","Billion $2010 PPP",--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--
"","Former U.S.S.R.","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former Yugoslavia","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","France","Billion $2010 PPP",1313.339,1327.332,1359.762,1376.886,1399.932,1423.136,1455.157,1492.622,1561.143,1631.071,1680.112,1697.132,1722.289,1711.564,1751.586,1790.28,1815.417,1857.799,1924.659,1988.049,2069.034,2110.791,2133.83,2152.007,2208.474,2246.204,2304.894,2360.932,2363.69,2297.314,2340.162,2392.298,2401.445,2415.682,2439.697,2464.767,2492.137,2549.32
