"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000000000000000000000000000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=5-A&vs=INTL.57-3-AFG-TBPD.A&cy=2015&vo=0&v=H&end=2016"
"Wed Sep 19 2018 19:06:46 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Petroleum (annual)","1000 bbl/d"
"","Imports",""
"","Total Petroleum and Other Liquids",""
"","Crude Oil, NGPL, and Other Liquids",""
"","Crude Oil including Lease Condensate",""
"","Cameroon","1000 bbl/d",0,0,0,0,0,0,0,4.973,9.946,19.892,21.709,15.862,12.01,23.032,15.309,21.531,27.497,23.349,31.744,21.768,30.875,35.477,39.943,30.657,33.826,30.163,34.24,35.345,33.305,28.517,34.361,37.433,29.4,22.733,34.381,36.63,40.95
"","Canada","1000 bbl/d",551.397,507.298,346.128,251.307,250.62,286.542,357.011,405.431,448.48,487.228,535.284,542.856,512.972,591.013,621.241,589.64,682.018,764.097,774.436,822.472,910.609,916.384,879.009,898.978,925.611,966.136,888.216,895.526,886.601,889.912,842.421,823.199,843.693,804.4,776.737,903.441,891.104
"","Cape Verde","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Cayman Islands","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Central African Republic","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Chad","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Chile","1000 bbl/d",62.051,51.554,23.287,36.022,37.586,39.393,49.715,51.228,77.807,86.331,103.28,105.195,114.972,119.692,135.357,144.875,151.908,163.949,180.553,177.948,184.758,187.715,183.349,195.835,198.814,195.758,212.19,205.946,191.346,188.615,159.659,171.035,161.763,177.316,166.63,158.893,157.867
"","China","1000 bbl/d",7.34,1.404,12.915,7.42,4.933,5.014,9.145,10.027,17.147,65.439,58.62,119.787,227.822,314.279,247.596,342.736,453.579,711.344,547.897,734.286,1407.22,1210.153,1393.825,1827.881,2457.753,2546.763,2915.432,3276.61,3582.588,4075.78,4773.176,5096.439,5427.945,5657.997,6192.826,6737.234,7620.76
"","Colombia","1000 bbl/d",20.115,21.143,20.076,37.902,26.943,18.486,0,0,0,0,0,0,0.291,0,0,0,0,0,0,3.627,3.782,5.47,3.492,1.164,3.492,7.293,7.778,7.778,0,0,0,0,0,0,0,0,27.118
"","Comoros","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Congo (Brazzaville)","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0.002,0,0.002,0,0,0,0.001,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0.003
"","Congo (Kinshasa)","1000 bbl/d",3.61,3.209,2.467,2.266,3.61,3.71,2.206,2.346,2.306,2.387,2.306,2.407,1.965,2.206,0.902,0.963,0.923,0.963,1.063,1.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Cook Islands","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Costa Rica","1000 bbl/d",10.34,9.58,9.24,6.9,7.74,8.34,12.7,12.58,12.58,13.2,8.9,6.98,11,11.3,10.94,14.36,12.4,12.5,0.78,0,0.92,5.64,9.5,10.44,10.46,10.72,13.32,14.26,12.66,8.06,10.04,3.54,0,0,0,0,0
