"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000002&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=47-A&vs=INTL.47-33-AFG-MBTUPP.A&cy=2015&vo=0&v=T&end=2015"
"Sat Aug 25 2018 02:08:32 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"","Cape Verde","MMBTU/Person",17.44,17.1,6.71,6.59,6.46,6.35,2.5,2.72,3.02,2.97,2.92,5.69,5.54,5.46,5.4,5.3,5.2,5.08,5,4.89,7.08,4.65,4.57,4.47,8.7,8.56,8.48,10.44,10.3,10.2,9.99,10.14,10.83,22.96,23.59,26.17
"","Cayman Islands","MMBTU/Person",61.87,119.13,115.23,111.69,107.86,103.56,98.76,93.73,177.48,168.24,159.94,152.6,145.96,139.64,133.09,157.87,149.09,140.46,132.49,125.6,119.94,115.43,111.76,108.63,126.85,123.4,139.91,155.39,188.94,147.39,144.13,141.85,139.64,137.5,134.51,137.17
"","Central African Republic","MMBTU/Person",1.18,1.57,1.53,1.47,1.45,1.38,1.41,1.36,1.34,1.31,1.29,1.58,1.54,1.5,1.47,1.44,1.41,1.38,1.34,1.31,1.56,1.53,1.49,1.47,1.54,1.29,1.52,1.49,1.47,1.44,1.42,1.44,1.43,1.66,1.58,1.67
"","Chad","MMBTU/Person",0.89,0.86,0.84,0.82,0.4,0.39,0.76,0.55,0.36,0.35,0.84,0.81,0.78,0.3,0.29,0.29,0.41,0.4,0.38,0.37,0.36,0.35,0.33,0.32,0.31,0.3,0.29,0.37,0.36,0.35,0.34,0.32,0.31,0.38,0.33,0.33
"","Chile","MMBTU/Person",38.52,36.37,30.61,33.03,33.53,32.89,32.87,33.45,36.36,40.1,44.69,43.76,47.25,49.5,52.46,56.29,59.86,66.79,65.13,67.09,66.72,67.64,68.73,71.79,76.05,79.18,80.35,78.96,80.03,77.44,77.89,82.05,81.02,78,75.23,75.16
"","China","MMBTU/Person",18.02,17.6,17.94,18.77,19.87,20.51,20.87,21.66,22.7,22.32,24.09,22.17,22.8,24.3,25.92,27.74,28.57,27.65,27.85,28.99,31.63,33.49,36.12,41.88,48.54,53.89,59.24,63.41,65.6,70.04,76.08,82.48,86.01,85.77,85.97,85.57
"","Colombia","MMBTU/Person",24.93,24.89,25.88,25.39,27.51,27.64,28.39,26.31,27.62,28.68,27.72,27.86,27.33,29.51,29.93,29.92,31.29,31.75,31.44,29.67,29.84,29.51,28.83,29.03,29.06,29.4,30.2,30.32,30.04,29.72,30.17,32.78,33.52,32.74,34.86,32.85
"","Comoros","MMBTU/Person",2.06,1.99,1.93,1.88,1.86,1.54,1.5,2.31,2.35,2.29,2.48,2.41,2.34,2.27,2.21,2.15,2.09,2.03,1.98,1.93,1.88,1.84,1.81,1.78,1.76,3.35,3.27,3.19,3.11,3.04,2.97,2.9,2.8,4.07,3.16,3.49
"","Congo (Brazzaville)","MMBTU/Person",6.23,7.25,6.41,5.63,5.6,8.13,6.68,8.15,6.68,7.28,7.82,6.85,6.47,5.66,5.38,5.35,5.23,5.04,4.55,3.9,3.99,4.9,4.49,5.01,5.15,7.32,7.46,8.6,9.65,11.42,16.76,17.35,18.06,21.74,20.58,20.24
"","Congo (Kinshasa)","MMBTU/Person",3.37,3.34,3.3,3.35,3.2,3.2,3.28,3.05,3.26,3.28,3.04,2.8,2.97,2.71,2.29,2.43,2.4,2.11,1.95,1.93,1.87,1.59,1.48,1.44,1.67,1.68,1.64,1.68,1.57,1.55,1.65,1.72,1.69,1.77,2.19,1.87
"","Cook Islands","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Costa Rica","MMBTU/Person",23.35,23.45,21.91,23.46,22.01,21.8,20.76,22.45,23.68,25.07,24.03,24.83,28.64,30.28,30.08,30.14,29.78,32.28,32.46,34.83,35.84,36.4,37.69,38.04,38.8,37.91,40.28,41.47,43.09,40.53,40.62,40.52,40.71,40.35,40.72,42.35
"","Cote dIvoire (IvoryCoast)","MMBTU/Person",8.92,9.34,8.39,7.85,6.69,7.54,7.37,7.85,7.92,7.68,6.33,5.18,4.84,5.22,5.32,5.52,6.74,6.16,6.12,7.71,7.95,6.49,6.17,6.1,6.37,6.2,6.1,6.22,6.88,6.49,6.26,6.08,6.16,7.32,7.65,7.53
"","Croatia","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,69.96,70.91,75.35,77.02,77.45,79.92,85.27,86.72,86.56,89.11,86.78,91.11,94.54,94.12,94.21,92.3,93.85,91.54,93.57,87.15,84.23,87,85.09,82.43
"","Cuba","MMBTU/Person",46.19,46.7,50.38,45.92,47.24,47.94,49.02,47.62,47.89,48.12,47.2,43.42,38.09,37.39,37.93,38.42,39.12,42.95,40.66,41.04,41.17,41.67,41.62,41.34,46.1,39.89,31.33,32.79,30.79,36.4,35.08,36.03,35.87,35.34,36.77,38.23
"","Cyprus","MMBTU/Person",81.98,68.85,74.34,80.9,81.7,85.21,87.22,96.79,97.26,115.17,118.96,115.82,131.61,129.56,143.9,141.02,135.8,136.97,145.95,151.73,148.03,159.25,154.62,154.04,160.24,161.76,164.14,162.68,164.61,153.64,144.48,139.25,131.02,116.64,110.3,113.49
"","Czech Republic","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,--,157.32,151.99,154.75,163.91,143.89,139.68,131.34,137.23,142.45,142.6,148.91,150.36,151.67,154.58,158.03,156.78,146.81,152.74,150.3,149.41,155.77,154.75,151.33
"","Denmark","MMBTU/Person",170.43,141.94,144.92,139.22,142.09,157.39,160.73,160.84,157.02,146.89,149.18,163.71,153.6,162.38,168.96,168.5,185.8,177.59,173.23,168.55,163.65,165.41,159.32,166.73,160.12,155.82,166.31,160.95,153.65,143.91,150.19,142.46,134.54,132.32,127.27,125.56
"","Djibouti","MMBTU/Person",61.29,48.35,46.68,32.59,26.68,25.85,21.81,20.34,19.07,41.26,38.96,40.11,39.58,39.06,38.56,38.07,37.05,36.08,35.15,34.28,34.84,34.21,33.61,34.35,33.76,33.19,30.12,28.38,20.63,20.3,19.97,19.62,19.28,14.49,13.94,13.46
"","Dominica","MMBTU/Person",6.33,8.15,8.04,8.93,9.15,9.86,9.83,10.68,13.42,14.2,14.26,14.28,14.2,14.75,16.47,16.76,16.82,17.02,18.14,18.99,19.04,18.36,33.01,32.72,33.26,17.98,32.03,31.11,30.91,31.3,31.2,32.7,31.33,32.5,30.66,30.73
"","Dominican Republic","MMBTU/Person",15.1,14.5,15.08,17.38,14.69,15.54,16.38,17.87,19.01,18.14,19.33,18.65,18.92,17.55,18.93,20.12,21.56,22.29,22.61,25.25,27.38,28.14,28.56,29.92,28.85,29.4,29.78,30.6,32.29,28.62,29.08,29.56,31.48,31.38,28.97,28.69
"","Ecuador","MMBTU/Person",23.34,23.59,25.14,22.86,23.55,24.35,25.6,24.67,24.92,23.82,24.79,25.56,27.92,26.32,28.14,26.98,28.51,28.79,28.85,27.18,29.19,30.51,30.62,31.16,33.31,34.78,36.15,37.6,38.61,39.11,39.54,40.67,41.9,43.42,44.69,43.32
"","Egypt","MMBTU/Person",16.1,18.22,19.79,22.11,23.59,24.28,24.16,24.46,24.03,24.2,24.95,24.44,23.82,24.69,25.03,25.1,26.69,27.18,27.52,28.11,28.72,31.25,31.1,32.86,34.28,36.22,33.47,34.83,38.99,39,38.89,40.01,41.54,40.11,38.12,37.71
