Report generated on: 09-17-2020 15:54:42
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.53-1-BOL-TBPD.A","        Bolivia","","","","","","","","32","26","30","28","27","26","23","24","24","25","26","26","28","28.915068493150685","31.8","35.59178082191781","37.863934426229505","38.13835616438356","44.7","41.5","40.435148657945355","44.85325283443669","47.22013418987341","42.92015299819397","61.33812681237215","62.66446301369863","61.31666301369863","61.82528219178082","51.5571174863388","45.95970136986301","47.872942465753425","49.25431232876712","57.59436612021858","65.20117808219177","69.0016602739726","74.06947397260274","77.63486885245902","77.46590410958905","77.63302739726028","78.12891780821917",""
"INTL.53-1-BIH-TBPD.A","        Bosnia and Herzegovina","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.073","-0.059","-0.097","-0.094","-0.015","0.07","0.131","0.258","0.219","0.248","0.248","0.248","0.248","0.248",""
"INTL.53-1-BWA-TBPD.A","        Botswana","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BRA-TBPD.A","        Brazil","","","","","","","","245","283","348","460","614","734","740","768","751","790","821","838","824","839.0006301369863","957.4246575342465","990.4246575342465","1107.0027322404371","1172.1972602739727","1282.627397260274","1427.772602739726","1534.1068965432798","1573.4855144624205","1757.8922450543669","1846.8988412124982","1839.4834277909508","2037.5220136986302","2169.463605479452","2283.504808219178","2431.4689098360654","2561.7134465753425","2723.742008219178","2699.1337561643836","2669.122319672131","2713.472298630137","2970.678032876712","3186.4863643835615","3242.9578360655737","3366.452109589041","3427.783616438356","3673.657589041096",""
"INTL.53-1-VGB-TBPD.A","        British Virgin Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BRN-TBPD.A","        Brunei","","","","","","","","270","188","179","187","175","168","181","150","148","142","160","171","178","178.2","180.63561643835615","175.84383561643835","166.69617486338797","175.34109589041097","179.58767123287672","204.22328767123287","215.36775561186903","217.5836606737863","189.40659608152876","196.36775230463013","204.4311477277049","209.95945205479453","221.2447808219178","169.9666301369863","157.76433879781422","148.8572191780822","153.32793150684932","169.3770410958904","158.73103825136613","135.48984931506848","126.80741095890411","127.00387671232876","121.03438797814208","113.31346575342465","111.62305479452054","121.56004109589041",""
"INTL.53-1-BGR-TBPD.A","        Bulgaria","","","","","","","","3","3","3","3","4","6","-0.2","0.09789268493151","-1.5","4.7","3.5","0.03394316988493","0.4","0.6","0.3","1","1.6","0.9","2.2","2.6","1.96206795607104","1.162427050131507","2.64813243062466","3.12806277483836","3.66126237206011","3.357","3.378","3.125","3.517","3.341","3.359","3.367","3.799","4.095","3.237191780821918","5.076","5.339","5.339","5.339","5.339",""
"INTL.53-1-BFA-TBPD.A","        Burkina Faso","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-MMR-TBPD.A","        Burma","","","","","","","","30","27","30","30","32","30","24","17","14","16","14","16","15","14.5","14.342465753424657","10.2","8.4","9.6","11.6","10.2","12.740341286054646","10.487984728980821","15.602408682120547","15.687312996142467","20.683867379349728","20.751","23.791","21.954643835616437","22.059934426229507","18.775931506849314","21.136767123287672","20.733","20.681","20.694","20.315342465753425","15.634","15.634","12.634","11.634","11.299753424657535",""
"INTL.53-1-BDI-TBPD.A","        Burundi","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-CPV-TBPD.A","        Cabo Verde","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
