Report generated on: 09-17-2020 15:43:44
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","total energy production (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-1-ARM-QBTU.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0.031160446","0.043802941","0.035889364","0.0195928","0.04071154","0.030819838","0.032169334","0.036536488","0.034304848","0.033196589","0.041199143","0.04120475","0.045665273","0.046917644","0.046331502","0.045687208","0.044118824","0.04639953","0.051566047","0.051605197","0.046819248","0.045980655","0.04536061","0.050534947","0.047246935","0.049007438"
"INTL.44-1-ABW-QBTU.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0002928","0.0010351116","0.001102766","0.001303692","0.001459773","0.00153111","0.001686739","0.00133864","0.001354311"
"INTL.44-1-AUS-QBTU.A","        Australia","3.414519644879731","3.9405759250937953","3.935643258344259","4.3781678606864505","4.811849742871564","5.28072180255252","5.4970087948186235","6.048119086399041","5.559598955852548","5.888621193960248","6.48990531641985","6.799687263391259","7.015012090546138","7.0324364945420745","7.1166906296444274","7.643889788247287","7.796394646966451","8.210734761989016","8.573444376634528","8.68381211920632","9.498623875256127","9.976162925723674","10.193311047059906","9.953733309100109","10.043058414928","10.682612749409941","10.781544836570347","11.31343688896532","11.390464171536959","11.871386316346124","12.678943150582038","12.637291330615842","13.233612923907645","14.123871193376532","15.119962822128912","15.249792706134494","15.935416499558219","16.548437327442343"
"INTL.44-1-AUT-QBTU.A","        Austria","0.47706094189423914","0.4708712929466897","0.4727867572751506","0.4613861873086846","0.4453055278039554","0.4621648355846949","0.461006912411866","0.40318066367411876","0.5019231096156492","0.503293765705933","0.4654532244918316","0.4723963156844369","0.4985994555953569","0.5152577382433363","0.4917561483714532","0.5202530824746346","0.48507825360548584","0.49326136478729155","0.5141570378062941","0.5490747208705934","0.5655079601384222","0.5582093448717111","0.5579579823931643","0.4916847677740972","0.5162593719465606","0.50877017603","0.525560774975","0.55235820755","0.55229205534","0.57607334510959","0.5446656357649405","0.5044298768708404","0.5960958833681755","0.5683903897210028","0.5621454133485271","0.5306403168554127","0.548991182931348","0.532079049041832"
"INTL.44-1-AZE-QBTU.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","0.778358279","0.717280858","0.661600646","0.64496226","0.65135797","0.6198796728","0.73060881695","0.840050246","0.8364685153","0.8798994886","0.87826764525","0.90464083325","0.886691388","1.181934753","1.657866799","2.2131637788","2.4672241126","2.7549342587","2.8391106532","2.70922601575","2.6017665702","2.5071093571","2.4840101592","2.5090340227","2.4663529757138","2.3477824640641"
"INTL.44-1-BHR-QBTU.A","        Bahrain","0.220221312","0.23686937","0.2430477","0.25078458","0.241592652","0.27122379","0.2953977","0.33140358","0.29719908","0.299530945","0.31258507254490975","0.333316505","0.2873026746","0.3515295041","0.34828298","0.343588715","0.33392487885","0.39773490085","0.40371041345","0.40756631005","0.41432963085","0.4241192095","0.4448251003","0.4528869041","0.45737722875","0.48675193655","0.51124107065","0.5278797329","0.55143663605","0.5537816164","0.56137479185","0.5574029621","0.6120516933","0.6621944373","0.6966350235","0.6998432385","0.689600350047","0.7013503514601"
"INTL.44-1-BGD-QBTU.A","        Bangladesh","0.0535425","0.061926919","0.068085548","0.072315472","0.0996064576","0.103319388","0.1125409675","0.130108963","0.1497630452","0.165180242","0.163530664","0.173230386","0.2044253044","0.222012278","0.244167246","0.263653916","0.2722079514","0.27474476155","0.295697159","0.32458094625","0.3505265125","0.3737570595","0.4076453895","0.45699453205647167","0.496592520216271","0.531875668785949","0.5827459970929357","0.6256156050676867","0.6940596438218398","0.7533030386222798","0.7753953607494048","0.7750533627512809","0.846868352216671","0.8767880017077889","0.916186779276931","1.019337802370145","1.1249572663580232","1.1312408044921922"
"INTL.44-1-BRB-QBTU.A","        Barbados","0.0004188","0.0004188","0.002558795","0.002558795","0.004718568","0.00469879","0.00469879","0.003309582","0.0037338186","0.0034026005","0.00382688937","0.003789914565","0.00478104144","0.004521707335","0.00427058703","0.004521707335","0.003811188225","0.003517226115","0.004794395785","0.005806580335","0.004622779199999998","0.003975276099999996","0.003213724345","0.003213724345","0.00325656615","0.0031157933999999997","0.0031347494","0.0030522335000000003","0.0029913934000000003","0.0023169125999999997","0.0027580810000000003","0.0027809861999999997","0.0028743986000000004","0.0029985182","0.0027616362000000005","0.0029277986000000003","0.003059259231","0.002969468467"
"INTL.44-1-BLR-QBTU.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","0.096877894","0.096662751","0.096662884","0.09488987","0.08862215","0.084802004","0.0856054801","0.08729424155","0.087263339655","0.087043721","0.08665235845","0.0834061648","0.0844136786","0.08208193284","0.0826282359","0.0822077312","0.08192782448","0.0782477216","0.06821840879","0.06813535935","0.06851158514","0.06962843809","0.06930939925","0.06012012365","0.0749843988988","0.0780436346231"
"INTL.44-1-BEL-QBTU.A","        Belgium","0.2998786949922619","0.29983663443078296","0.3354620851745491","0.4072337737815998","0.4506428218684442","0.5122634820369738","0.5452069533069652","0.5384844712725713","0.4983652508822014","0.4637840825219262","0.45817094174892525","0.44963928556835775","0.4465309567695615","0.4250260812","0.413101293","0.421080384","0.43971900695","0.478691677","0.468360824","0.498015116","0.49217902417","0.477162309","0.486956143","0.485848394","0.489449348","0.497025827","0.496797088","0.519467294","0.5034409212","0.538056658527285","0.567861096256525","0.5863314295708","0.52781463077032","0.56080682151139","0.48441503608843","0.41973139898574","0.589646738382736","0.573546368"
