International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=g0q&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=3002-A&vs=INTL.3-1-AFG-BCF.A&cy=2015&vo=0&v=H&end=2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 19 2018 19:11:17 GMT-0700 (Pacific Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Kosovo,Bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-
,Kuwait,Bcf,-,-,-,-,-,-,-,-,-,-,250,565,127.134,244.3798,266.98,266.98,266.9814,383.87405,373.98585,358.0941,395.528,353.15,342.5555,395.528,423.78,469.6895,505.35765,470.04265,489.81905,412.797035,422.01425,485.58125,555.92873,583.721635,538.55375,604.981265
,Kyrgyzstan,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,3.53,1.41,1.24,1.23,0.85,0.63567,0.49441,0.35315,0.459095,0.56504,0.35315,0.953505,1.024135,1.05945,0.91819,0.649796,1.05945,0.543851,0.42378,0.35315,0.21189,1.13008,1.20071,1.05945
,Laos,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Latvia,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lebanon,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lesotho,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Liberia,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Libya,Bcf,-,-,-,-,-,-,-,-,-,-,572,549.84,502.6417861,438.25915,441.79,440.02,446.3816,455.91665,444.969,324.898,358.44725,364.80395,365.8634,450.6194,584.8164,771.456175,955.800475,1031.868985,1070.39765,1034.341035,1068.525955,348.241215,w,w,w,591.52625
,Lithuania,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Luxembourg,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Macau,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Macedonia,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Madagascar,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Malawi,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Malaysia,Bcf,-,-,-,-,-,-,-,-,-,-,688.6425,752.2095,769.867,995.883,1078.87325,1301.0046,1494.5308,1715.95585,1708.5397,1814.4847,2010.48295,2074.75625,2146.79885,2152.0961,2230.4954,2520.7847,2613.31,2657.1006,2683.94,2666.2825,2718.19555,2693.8282,2724.55225,w,w,2762.798395
,Maldives,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mali,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Malta,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Martinique,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mauritania,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mauritius,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mexico,Bcf,-,-,-,-,-,-,-,-,-,-,1285.32,1283.0285,1259.933255,1324.347815,1355.213125,1362.38207,1578.757075,1633.6719,1744.49037,1697.486105,1740.11131,1681.91219,1686.00873,1733.18957,1779.770055,1892.24833,2116.92236,2356.322745,2652.121185,2566.198,2562.288,2406.832,2336.811,2325.162,2384.135,2336.37
,Moldova,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76575,0,0,0,0,0,0,0,0,0.35315
,Mongolia,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Montenegro,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0
,Montserrat,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Morocco,Bcf,-,-,-,-,-,-,-,-,-,-,2,1.374174212,0.847316905,1.059,1.06,0.71,0.71,1.76575,1.76575,1.4126,1.76575,1.76575,1.76575,1.76575,1.4126,1.613161032,2.353658071,2.257701242,2.47205,2.47205,2.8252,2.47205,w,w,w,4.02591
,Mozambique,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,2.1189,2.1189,2.1189,2.1189,2.1189,2.8252,40.9654,78.04615,91.1127,93.2316,103.8261,94.6442,110.1828,134.9033,w,w,w,w
,Namibia,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nauru,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nepal,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Netherlands,Bcf,-,-,-,-,-,-,-,-,-,-,2691.179575,3042.422565,3061.73987,3116.40749,2957.101525,3006.825045,3403.200605,3011.557255,2872.486785,2671.2266,2576.44114,2768.872575,2674.33432,2574.781335,3036.207125,2773.99325,2730.76769,2685.42323,2955.194515,2781.444715,3127.28451,2847.30719,2832.086425,3045.28308,2473.003505,1909.1289
,Netherlands Antilles,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Caledonia,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Zealand,Bcf,-,-,-,-,-,-,-,-,-,-,171,189,198.39967,215.068,177.56382,167.11058,189.888755,202.460895,177.49319,203.449715,215.668705,228.69994,213.09071,164.99168,147.722645,146.592565,141.26,158.98813,157.43427,164.92105,177.740395,160.11821,168.417235,171.70153,187.73454,181.44847
,Nicaragua,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Niger,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nigeria,Bcf,-,-,-,-,-,-,-,-,-,-,978,1052,1154.8005,1189.4092,1189.41,1234.26,1300.65145,1139.9682,1121.25125,1084.1705,1231.0809,1387.8795,1345.5015,1553.86,1603.301,2060.63025,2182.467,2415.546,2565.21097,1836.02685,2391.5318,2966.60126,2996.33649,2811.99219,3048.567375,3009.650245
,Niue,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Northern Mariana Islands,Bcf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Norway,Bcf,-,-,-,-,-,-,-,-,-,-,996,1482,1505.9319,1468.397,1589.53,1666.52,2099.47675,2485.11655,2623.55135,2888.41385,3187.88505,3339.73955,3735.97385,4176.70505,4511.49125,4619.202,4573.2925,4827.5605,4988.24375,5113.612,5253.10625,5196.9554,w,w,w,w
,Oman,Bcf,-,-,-,-,-,-,-,-,-,-,186,187.88,215,227.075,237.32,267.68,251.4428,363.39135,370.1012,407.88825,484.16865,730.3142,764.56975,879.3435,971.1625,917.83685,1051.6807,1070.0445,1068.27875,1097.060475,1175.9895,1157.27255,w,w,1338.685705,w
,Pakistan,Bcf,-,-,-,-,-,-,-,-,-,-,543,534,550.715,583,627.19,645.91,696.4118,698.5307,709.8315,783.993,855.68245,875.45885,930.9034,1017.072,1094.765,1214.836,1413.3063,1413.3063,1452.1528,1476.52015,1512.54145,1471.57605,1628.0215,w,w,w
,Palestinian Territories,Bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
,Panama,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Papua New Guinea,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,2.12,2.8252,1.77,3.88,4.9441,4.2378,4.2378,4.2378,4.2378,4.2378,4.2378,5.29725,5.29725,3.88465,5.29725,5.29725,4.9441,3.88465,4.2378,3.88465,w,w,w,w
,Paraguay,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Peru,Bcf,-,-,-,-,-,-,-,-,-,-,36,35.58075888,32.24826,46.26,46.97,44.5,44.14375,34.25555,33.1961,32.4898,28.9583,31.7835,61.80125,64.9796,121.13045,195.6451,250.0302,288.52355,270.86605,383.16775,490.8785,511.00805,558.33015,572.103,649.44285,611.6558
,Philippines,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0.35,0.35315,0.35315,0.35315,0.35315,0.35315,10.5945,84.756,105.945,105.945,102.4135,105.945,120.071,121.4836,131.3718,121.13045,139.49425,w,w,w,w
,Poland,Bcf,-,-,-,-,-,-,-,-,-,-,145,154,148.46426,182.43729,172.655035,178.90579,177.104725,180.141815,180.74217,175.65681,184.48556,192.89053,197.022385,198.68219,210.653975,214.750515,212.45504,214.044215,203.90881,207.79346,215.315555,221.28379,223.75584,220.43623,215.28024,217.11662
,Portugal,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Puerto Rico,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Qatar,Bcf,-,-,-,-,-,-,-,-,-,-,242,357.74,602.12,649.796,646.26,649.8,669.21925,837.31865,925.253,1034.7295,1311.95225,1237.79075,1345.5015,1414.36575,1711.71805,2034.144,2189.53,2705.129,3209.674405,3630.382,4611.07955,5297.81504,5757.227875,w,5860.700825,6000.93669
,Reunion,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Romania,Bcf,-,-,-,-,-,-,-,-,-,-,1041,886,776.93,756.447,702.42,693.93,644.85,614.481,524.0746,509.59545,488.40645,505.0045,469.6895,434.3745,416.717,413.1855,449.2068,432.2556,403.2973,383.5209,395.17485,403.36793,403.50919,403.261985,395.528,w
,Russia,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,23005.72,21814.08,21450.33,21005.36,20235.495,19257.2695,19914.1285,19952.975,19691.644,19578.636,20302.5935,21157.2165,21944.741,22225.49525,22771.112,22746.3915,23174,20589,22965.3445,23677.64805,23131.325,23590.42,w,22728.734
,Rwanda,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saint Helena,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saint Kitts and Nevis,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saint Lucia,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saint Pierre and Miquelon,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saint Vincent/Grenadines,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Samoa,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sao Tome and Principe,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Saudi Arabia,Bcf,-,-,-,-,-,-,-,-,-,-,1741,2284,2334.43215,2376.6995,2479.11,2612.25,2742.20975,1679.93455,1757.9807,1719.48735,1887.9399,2012.955,2119.6063,2398.5948,2700.1849,2872.87525,3001.775,3027.55495,3144.80075,3250.569175,3512.959625,3705.9561,3927.7343,4030.1478,4121.9668,4231.79645
,Senegal,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0.7063,1.41,1.77,2.1189,1.4126,1.4126,1.4126,1.76575,1.76575,1.76575,1.76575,1.76575,1.76575,1.76575,1.76575,1.76575,1.76575,1.76575,1.4126,1.69512,w,w,w
,Serbia,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.82875,5.29725,7.063,9.8882,15.18545,21.8953,23.73168,23.66105,w,w
,Seychelles,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sierra Leone,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Singapore,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Slovakia,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,--,8.934695,10.31198,12.01,11.08891,10.206035,9.1819,7.522095,6.109495,7.063,6.56859,7.20426,6.038865,5.22662,7.027685,5.08536,3.990595,4.061225,4.02591,4.59095,5.79166,4.838155,3.74339,3.496185
,Slovenia,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,0.57,0.7063,0.35,0.35,0.35,0.459095,0.317835,0,0,0,0.21189,0.176575,0.176575,0.14126,0.14126,0.105945,0.105945,0.105945,0.247205,0.07063,0.07063,0.105945,0.105945,0.105945
,Solomon Islands,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Somalia,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Africa,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,44.4969,63.392,69.217,69.22,65.00984642,63.567,56.85715,55.0914,64.2733,80.16505,87.22805,86.52175,71.68945,65.6859,102.4135,54.03195,48.0284,37.4339,34.25555,45.2032,w,w,w,w
,South Sudan,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-
,Spain,Bcf,-,-,-,-,-,-,-,-,-,-,51,48,44.249695,23.16664,6.92174,14.83,16.633365,6.392015,4.061225,5.261935,5.72103,18.22254,19.034785,7.592725,12.64277,5.897605,2.577995,0.63567,0.600355,0.49441,1.801065,1.83638,2.154215,2.012955,0.84756,2.18953
,Sri Lanka,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sudan,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Suriname,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Swaziland,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sweden,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Switzerland,Bcf,-,-,-,-,-,-,-,-,-,-,0.141,0.105,0.105,0.07063,0.035315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Syria,Bcf,-,-,-,-,-,-,-,-,-,-,133,158,192.1216216,164.21475,167.75,155.03,204.1207,226.016,269.1003,278.2822,280.04795,251.79595,317.835,331.961,342.5555,296.646,305.47475,300.1775,296.646,287.11095,355.62205,392.34965,w,w,248.97075,218.953
,Taiwan,Bcf,-,-,-,-,-,-,-,-,-,-,80,35.2354128,32,29.31,32.49,33.55,32.13665,32.84295,31.43035,31.43035,31.43035,30.01775,32.84295,29.31145,30.01775,28.252,15.18545,14.726355,12.7134,12.36025,10.5945,10.94765,14.726355,12.819345,12.748715,12.57214
,Tajikistan,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,3.53,0,1.17,1.38,0.99,1.4126,2.1189,2.1189,1.4126,1.76575,0.7063,1.4126,1.377285,1.447915,1.27134,0.7063,1.05945,1.34197,1.447915,0.670985,0.529725,0.459095,0.42378,0.7063
,Tanzania,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,14.7,18,19.0701,20.1,23.59042,27.89885,18.01065,w,w,w,w
,Thailand,Bcf,-,-,-,-,-,-,-,-,-,-,229,285,285.2527314,342.90865,376.1,401.18,467.5706,571.04355,615.54045,677.3417,713.00985,715.83505,762.0977,833.78715,860.2734,925.253,934.78805,997.64875,1095.11815,1173.51745,1361.39325,1402.0055,1576.81475,1615.767195,1628.127445,1535.07242
,Timor-Leste (East Timor),Bcf,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,w,w,w,w,w,w,w,w,w,w
,Togo,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tonga,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Trinidad and Tobago,Bcf,-,-,-,-,-,-,-,-,-,-,295,298,263.3831897,303,341.5,360.21,391.2902,413.53865,412.83235,500.0604,577.40025,614.12785,678.048,960.92115,1072.51655,1174.5769,1417.19095,1476.167,1465.5725,1515.0135,1575.7553,1531.2584,1507.9505,1584.9372,1537.68573,1481.287675
,Tunisia,Bcf,-,-,-,-,-,-,-,-,-,-,12,20.12955,32.13665,28.95,27.19,26.13,42.02485,74.8678,84.0497,84.0497,82.99025,93.58475,88.2875,105.945,109.4765,111.24225,113.008,72.0426,123.24935,97.4694,108.7702,107.71075,w,w,90.441715,87.404625
,Turkey,Bcf,-,-,-,-,-,-,-,-,-,-,8.016505,7.733985,7.592725,8.510915,9.32316,9.11127,9.46442,12.36025,23.73168,29.911805,27.157235,11.15954,13.49033,19.84703,24.332035,31.7835,32.06602,31.64224,36.056615,24.261405,24.190775,26.91003,22.31908,19.034785,16.9512,13.455015
,Turkmenistan,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,2020.01,2288.41,1257.21,1140.67,1306.66,900.5325,466.158,787.5245,1642.1475,1702.183,1889.3525,2087.1165,2068.39955,2224.845,2094.1795,2281.349,2334.3215,1261.4518,1500.8875,2193.0615,w,2593.88675,2735.14675,w
,Turks and Caicos Islands,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,U.S. Pacific Islands,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,U.S. Territories,Bcf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Uganda,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ukraine,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,738.08,678.05,642.73,615.89,642.73,639.2015,639.2015,632.1385,635.67,642.733,649.796,688.6425,678.048,685.111,688.6425,688.6425,699.237,715.4819,699.237,699.237,699.237,720.426,709.8315,670.985
,United Arab Emirates,Bcf,-,-,-,-,-,-,-,-,-,-,1053,1163,1295.001,1292.207,1213.43,1442.97,1622.01795,1698.29835,1729.7287,1775.99135,1784.46695,2084.2913,2254.15645,2305.3632,2402.47945,2409.54245,2560.69065,2649.3313,2827.142325,2678.2896,2817.4307,2912.0749,2913.4875,2959.25574,2956.07739,3178.738465
,United Kingdom,Bcf,-,-,-,-,-,-,-,-,-,-,1754,2356,1964.467505,2586.117,2776.47,2949.16,3471.11135,3305.13085,3443.56565,3783.29595,4123.73255,4076.41045,3981.05995,3901.95435,3690.06435,3378.58605,3049.8034,2740.444,2655.688,2268.98875,2314.05069,1898.216565,1645.60837,1548.951215,1544.25432,1675.237655
,United States,Bcf,21869.692,21587.453,20272.254,18659.046,20266.522,19606.699,19130.711,20140.2,20999.255,21074.425,21523,21750,22132,22726,23581,23744,24114,24213,24108,23823,24174,24501,23941,24119,23970,23457,23535,24664,25636,26057,26816,28479,29542,29523,31405,32915
,Uruguay,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Uzbekistan,Bcf,-,-,-,-,-,-,-,-,-,-,--,--,1511.48,1589.18,1666.87,1695.12,1695.12,1737.498,1935.262,1963.514,1991.766,2228.3765,2037.6755,2029.941515,2113.9559,2107.95235,2215.6631,2302.149535,2387.294,2168.62352,2129.84765,2235.08635,2221.66665,2185.2922,2180.3481,w
,Vanuatu,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Venezuela,Bcf,-,-,-,-,-,-,-,-,-,-,1474.86,1494.74,1500.0399,1489,1569.4,1678.88,1926.0801,2088.88225,2166.57525,2015.42705,2136.5575,2202.59655,2188.8237,1854.0375,2027.081,2590.28462,1871.695,2529.33093,2541.90307,2548.68355,2510.013625,2587.67131,2682.80992,2699.4786,2709.260855,2832.12174
,Vietnam,Bcf,-,-,-,-,-,-,-,-,-,-,1.41,2.47,7.416,36.37,36.37,34.96,40.61225,17.6575,38.8465,47.67525,54.73825,58.26975,92.17215,113.008,123.6025,169.512,247.205,240.8483,278.9885,282.87315,330.19525,301.5901,329.1358,w,359.85985,365.1571
,"Virgin Islands,  U.S.",Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Virgin Islands, British",Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wake Island,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Western Sahara,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Yemen,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,303.35585,361.625,410,471.45,516.3053,526.54665,540.3195,582.6975,667.4535,695.7055,709.8315,709.8315,709.8315,727.489,646.2645,1031.198,1059.45,1046.7366,1152.6816,1045.324,995.883,1110.65675,1098.2965,w
,Zambia,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Zimbabwe,Bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vented and Flared Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,Bcf,0,0,0,0,0,0,0,6,8,7,6.626294805,5.340993314,0.425468959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Albania,Bcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Algeria,Bcf,343,238,170,154,129,160,199,222,212,216,236,159,141,237.316,242.61,250.74,243.6735,244.73295,244.73295,237.66995,239.4357,144.0852,147.6167,141.26,119.71785,105.80374,116.5395,165.097625,174.915195,194.338445,176.575,127.27526,123.425925,129.288215,139.42362,124.09691
,American Samoa,Bcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Angola,Bcf,55,53,43,38,41,41,49,48,61,51,45,47,45.17212989,50.1473,46.97,132.0781,137.7285,140.90685,145.4978,151.8545,148.323,148.323,152.5608,206.59275,218.953,229.5475,229.5475,257.7995,244.3798,243.920705,248.68823,253.667645,256.351585,247.240315,246.99311,247.099055
