"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&vs=INTL.44-2-AFG-QBTU.A&cy=2015&vo=0&v=T&end=2015"
"Sat Aug 25 2018 16:21:01 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"","Primary Energy","Quad Btu"
"","Consumption",""
"","Bolivia","Quad Btu",0.0745894476684,0.0841984370549,0.0737118516254,0.0756132178036,0.072694836,0.067365625,0.068176414,0.06713454,0.077386728,0.087425592,0.092251816,0.090728008,0.09832634,0.096518192,0.108300988,0.123601224,0.121417044,0.135415749,0.125805428,0.140717022,0.161527999,0.144374066,0.157767363,0.198493333,0.202301988,0.197382999,0.207599992239,0.235312529588,0.240036936,0.23886544,0.24261328,0.238335356,0.282048858567,0.297888768098,0.316850642155,0.277504021662
"","Bosnia and Herzegovina","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.14039338247,0.099519724874,0.104285440172,0.176089276009,0.114688901714,0.159755104165,0.186292566668,0.191179837082,0.223831955039,0.221295049394,0.231891510126,0.199887773995,0.208793598801,0.201582256069,0.201131517336,0.189812519084,0.214226013411,0.253537119232,0.277725118956,0.277491518735,0.255351050038,0.245866727352,0.243822216407,0.238803880462
"","Botswana","Quad Btu",0.01499706522,0.0152723552605,0.0143427567434,0.0141128104589,0.0141652042666,0.0193585643258,0.0197154703039,0.0212173176565,0.025017525049,0.02868808678,0.0330510263,0.03373807718,0.0393412062,0.038368246,0.03915021702,0.0424933066906,0.039265335503,0.0419739659615,0.047512151065,0.0479591250313,0.058038116914,0.0501742615882,0.0508555714563,0.0499689305529,0.0565522922744,0.0618488716882,0.059566346465,0.0622714736762,0.0697297287728,0.0655934723651,0.0749362650899,0.068260177415,0.0660491472565,0.075032024369,0.0696787415599,0.0775512978832
"","Brazil","Quad Btu",4.00298261788,3.87508148822,3.93857611227,3.93717869006,4.30398779002,4.56402450161,4.96241230687,5.09365290679,5.25557385571,5.42140811226,5.75076865933,5.96984465307,6.0573732052,6.29590577955,6.58852671773,6.98367352806,7.414704036,7.82060457537,8.07189180578,8.22712976288,8.49970412104,8.41366901403,8.50498680627,8.58242685993,8.94792473562,9.24270286679,9.47261189168,9.98336031703,10.4412520462,10.3861613538,11.4248973355,11.8410299821,12.2056332778,12.6261146405,12.7980812566,12.6874467568
"","Brunei","Quad Btu",0.082,0.085,0.093,0.073,0.064,0.076,0.051,0.081,0.072,0.083,0.075,0.038,0.055,0.052,0.051,0.062,0.058,0.062,0.056,0.062,0.065,0.073,0.085,0.09,0.100337,0.115901,0.176627,0.18673,0.190732,0.127192,0.1445005142,0.1483439572,0.144782169,0.1341963154,0.151695170781,0.164945566064
"","Bulgaria","Quad Btu",1.31845099554,1.30968408897,1.35387403629,1.37495151843,1.37267525494,1.42168231044,1.41031414854,1.40722795558,1.40792868637,1.30543190794,1.18107259196,0.939976826988,0.933417825354,0.885095624078,0.887103712023,0.958000576265,0.986463033269,0.917903954822,0.846753902527,0.769755938698,0.867575385017,0.900012309964,0.872647291999,0.884764078496,0.87277854511,0.897177911604,0.918740646154,0.822476381742,0.81667251367,0.711693893495,0.740560201643,0.786780331422,0.756049921888,0.739932749898,0.781479912364,0.827361520431
"","Burkina Faso","Quad Btu",0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007093618,0.008135668,0.00820684,0.009484523,0.009742752,0.009969328,0.01117876,0.017174495,0.015795366,0.016257798,0.016989497,0.016772841,0.017026392,0.018207428,0.018333599104,0.018421080532,0.018266409259,0.020513322852,0.029789145334,0.02577168144,0.026445316,0.026475936,0.026680232,0.04482653,0.04498618685,0.0449812575029
"","Burma (Myanmar)","Quad Btu",0.0732848882005,0.075360777432,0.0823457885759,0.0946969350716,0.101893142851,0.106019493347,0.0921781621948,0.0886868983869,0.0844102520658,0.088803708669,0.0864845134298,0.0851785179389,0.087917373937,0.0941078824771,0.110073865144,0.116391857883,0.118533901869,0.126674643854,0.138231036326,0.14119652883,0.168031463129,0.165569341399,0.188326352835,0.21155838001,0.217658029051,0.286048485811,0.26742799792,0.289563593574,0.260866255213,0.241632824797,0.240939808903,0.265557562,0.274937150229,0.35208906006,0.430226225187,0.451370623572
"","Burundi","Quad Btu",0.00115384400658,0.00216079800524,0.00114715200926,0.0023647924186,0.00252658,0.002623866,0.002725918,0.00302033,0.005104316,0.00510842,0.005167606,0.006226436,0.006154044,0.006232792,0.00632274,0.006305452,0.0063292,0.00634498,0.007210421,0.007111342,0.006102058,0.007297382,0.007401218,0.007189924,0.007116396,0.006192157,0.006168448,0.006409268,0.004353106,0.004485104,0.004699736,0.004581436,0.004660512,0.004668094,0.00486958726,0.0052017051083
"","Cambodia","Quad Btu",0.00450901216121,0.00455400913886,0.00557497025465,0.005420800728,0.0063132,0.006365645,0.00641784,0.006468855,0.0065162,0.006563328,0.006644924,0.007667904,0.007692914,0.007711321,0.007732436,0.020752776,0.02379618,0.027582141,0.03250985,0.032449944,0.0344866082078,0.0393288381397,0.0423297786415,0.0465413666703,0.0524821043989,0.0556945481043,0.0608402848096,0.0666308048003,0.07492177458,0.0654497532552,0.0606022605836,0.0668151552405,0.0718079978974,0.0933257575392,0.109235557611,0.115765201471
