"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=5-A&vs=INTL.5-2-AFG-TBPD.A&cy=2015&vo=0&v=H&end=2017"
"Wed Sep 19 2018 19:04:57 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Petroleum (annual)","1000 bbl/d"
"","Consumption",""
"","Cayman Islands","1000 bbl/d",0.7,0.8,0.8,0.7,0.8,0.8,0.75616,0.80577,1.89906,1.89934,2.03112,1.99934,2.03076,1.93112,2.23112,2.37939,2.37939,2.37988,2.37988,2.37989041096,2.3793989071,2.37989041096,2.37989041096,2.37989041096,2.7,2.77989041096,3.1,3.7,4.4,3.69676712329,3.69676712329,3.69676712329,3.69676712329,3.95238356164,3.98397260274,4,-,-
"","Central African Republic","1000 bbl/d",1,1.3,1.4,1.5,1.4,1.4,1.7,1.55473,1.5546,1.55473,1.67298,1.77298,1.67278,1.87298,1.97298,1.97278,2.07278,2.07298,2.07298,2.07298630137,2.21366120219,2.23221917808,2.33221917808,2.33221917808,2.21366120219,2.0895890411,2.23221917808,2.33221917807,2.53221917807,2.33221917808,2.33221917808,2.33221917808,2.33221917808,2.83863013699,2.82775342466,3,-,-
"","Chad","1000 bbl/d",2,1.9,1.9,1.9,0.9,1.1,1.9,1.7,1.01277,1.11384,2.3389,2.3,2.3,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.35281420765,1.35295890411,1.35295890411,1.35295890411,1.35281420765,1.52117808219,1.55295890411,1.85295890411,1.75295890411,1.75295890411,1.75295890411,1.75295890411,1.75295890411,2.08873972603,2.21452054795,2.2,-,-
"","Chile","1000 bbl/d",107,104,102,96,101.150273224,98.0465753425,103.58630137,108.230136986,119.636612022,135.076712329,145.468493151,153.010958904,165.284153005,179.471232877,195.884931507,212.476712329,231.631147541,244.832876712,254.912328767,261.276712329,239.628415301,233.443835616,239.673972603,248.534246575,263.442622951,272.353424658,278.178082192,351.512328767,369.31420765,348.342465753,322.331506849,332.032876712,332.054644809,339.463013699,336.375342466,330.504109589,351.989071038,354.517808219
"","China","1000 bbl/d",1765,1705,1660,1730,1740,1885,2001,2120,2275,2380,2297,2499,2662,2960,3161,3363,3611,3916,4105,4365,4688.5349071,4814.28008011,5211.50771693,5786.18343934,6802.69185069,6970.25711836,7493.35147496,7923.25925732,8041.34303416,8497.26758838,9527.24600499,10053.3441821,10549.5917026,11084.1016586,11637.2800184,12376.0532644,-,-
"","Colombia","1000 bbl/d",161,164,168,172,174,171,171.5,184.5,197.5,208.2,196.3,204.8,229.4,240.7,245.8,250.7,279,286.5,289,277.9,279.9,282.3,261.7,265.4,267.3,270.5,274.7,279.8,259.1,258.1,270.5,293.9,322.6,295,332.345936438,317,-,-
"","Comoros","1000 bbl/d",0.3,0.3,0.3,0.3,0.3,0.3,0.16353,0.35399,0.35357,0.35399,0.42172,0.40643,0.40614,0.40643,0.40643,0.40614,0.40614,0.40643,0.50643,0.506438356164,0.6,0.6,0.621726027397,0.621726027397,0.721666666667,0.743452054795,0.721726027397,0.9434520548,0.9434520548,0.943452054795,0.792219178082,0.943452054795,0.943452054795,1.38690410959,1.34983561644,1.3,-,-
"","Congo (Brazzaville)","1000 bbl/d",5,6,5,4,4,5.7,5.90342,6.54368,5.8028,6.54368,7.12268,6.22371,5.8,5.4,5.2,5.2,5.1,5,5,4.2,4.34217819126,5.47659253699,4.77513404384,5.9,6.8,7.5,8.3,9.18301369865,10.0830136986,11.6,16.6,13.7,15.2,15.6,17.2906389041,18,-,-
"","Congo (Kinshasa)","1000 bbl/d",19,20,21,21,20,19,20.54124,18.52399,23.0436,21.84097,20.52178,21.5,24.3,25.2,20.1,20.47447,21.37734,21,19.9,20.5337247123,14.2336325683,9.50194389041,8,8.1,11.3,11.5,11.2,12.8,11.521178,11.5,16.3847123288,19.7,20.7,22.3,36.4109589041,30,-,-
"","Cook Islands","1000 bbl/d",0.2,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.208,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.37,0.37,0.37,0.37,0.3,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.543452054795,0.528191780822,0.53,-,-
